1001,1612341476449,36.6
1009,1612341476449,37.6
1011,1612341476449,38.6
1007,1612341476449,36.1
1005,1612341476449,35.6
1020,1612341476449,36.3
1001,1612341476449,36.1
1009,1612341476449,37.3
1011,1612341476449,38.8
1007,1612341476449,36.2
1005,1612341476449,35.1
1020,1612341476449,36.3
1001,1612341476449,37.6
1009,1612341476449,36.6
1011,1612341476449,35.6
1007,1612341476449,34.1
1005,1612341476449,32.6
1020,1612341476449,39.3
1001,1612341476449,35.6
1009,1612341476449,38.6
1011,1612341476449,34.6
1007,1612341476449,36.1
1005,1612341476449,37.6
1020,1612341476449,35.3
